dataset,instancia,negocios,C,i,archivo
BT-peor-opt,BT-P-O-87-1-87,87,87,1,..\instances\BT-peor-opt\BT-P-O-87-1-87.txt
BT-peor-opt,BT-P-O-88-1-88,88,88,1,..\instances\BT-peor-opt\BT-P-O-88-1-88.txt
BT-peor-opt,BT-P-O-89-1-89,89,89,1,..\instances\BT-peor-opt\BT-P-O-89-1-89.txt
BT-peor-opt,BT-P-O-90-1-90,90,90,1,..\instances\BT-peor-opt\BT-P-O-90-1-90.txt
BT-peor-opt,BT-P-O-91-1-91,91,91,1,..\instances\BT-peor-opt\BT-P-O-91-1-91.txt
BT-peor-opt,BT-P-O-92-1-92,92,92,1,..\instances\BT-peor-opt\BT-P-O-92-1-92.txt
BT-peor-opt,BT-P-O-93-1-93,93,93,1,..\instances\BT-peor-opt\BT-P-O-93-1-93.txt
BT-peor-opt,BT-P-O-94-1-94,94,94,1,..\instances\BT-peor-opt\BT-P-O-94-1-94.txt
BT-peor-opt,BT-P-O-95-1-95,95,95,1,..\instances\BT-peor-opt\BT-P-O-95-1-95.txt
BT-peor-opt,BT-P-O-96-1-96,96,96,1,..\instances\BT-peor-opt\BT-P-O-96-1-96.txt
BT-peor-opt,BT-P-O-97-1-97,97,97,1,..\instances\BT-peor-opt\BT-P-O-97-1-97.txt
BT-peor-opt,BT-P-O-98-1-98,98,98,1,..\instances\BT-peor-opt\BT-P-O-98-1-98.txt
BT-peor-opt,BT-P-O-99-1-99,99,99,1,..\instances\BT-peor-opt\BT-P-O-99-1-99.txt
BT-peor-opt,BT-P-O-100-1-100,100,100,1,..\instances\BT-peor-opt\BT-P-O-100-1-100.txt
BT-peor-opt,BT-P-O-101-1-101,101,101,1,..\instances\BT-peor-opt\BT-P-O-101-1-101.txt
BT-peor-opt,BT-P-O-102-1-102,102,102,1,..\instances\BT-peor-opt\BT-P-O-102-1-102.txt
BT-peor-opt,BT-P-O-103-1-103,103,103,1,..\instances\BT-peor-opt\BT-P-O-103-1-103.txt
BT-peor-opt,BT-P-O-104-1-104,104,104,1,..\instances\BT-peor-opt\BT-P-O-104-1-104.txt
BT-peor-opt,BT-P-O-105-1-105,105,105,1,..\instances\BT-peor-opt\BT-P-O-105-1-105.txt
BT-peor-opt,BT-P-O-106-1-106,106,106,1,..\instances\BT-peor-opt\BT-P-O-106-1-106.txt
BT-peor-opt,BT-P-O-107-1-107,107,107,1,..\instances\BT-peor-opt\BT-P-O-107-1-107.txt
BT-peor-opt,BT-P-O-108-1-108,108,108,1,..\instances\BT-peor-opt\BT-P-O-108-1-108.txt
BT-peor-opt,BT-P-O-109-1-109,109,109,1,..\instances\BT-peor-opt\BT-P-O-109-1-109.txt
BT-peor-opt,BT-P-O-110-1-110,110,110,1,..\instances\BT-peor-opt\BT-P-O-110-1-110.txt
BT-peor-opt,BT-P-O-111-1-111,111,111,1,..\instances\BT-peor-opt\BT-P-O-111-1-111.txt
BT-peor-opt,BT-P-O-112-1-112,112,112,1,..\instances\BT-peor-opt\BT-P-O-112-1-112.txt
BT-peor-opt,BT-P-O-113-1-113,113,113,1,..\instances\BT-peor-opt\BT-P-O-113-1-113.txt
BT-peor-opt,BT-P-O-114-1-114,114,114,1,..\instances\BT-peor-opt\BT-P-O-114-1-114.txt
BT-peor-opt,BT-P-O-115-1-115,115,115,1,..\instances\BT-peor-opt\BT-P-O-115-1-115.txt
BT-peor-opt,BT-P-O-116-1-116,116,116,1,..\instances\BT-peor-opt\BT-P-O-116-1-116.txt
BT-peor-opt,BT-P-O-117-1-117,117,117,1,..\instances\BT-peor-opt\BT-P-O-117-1-117.txt
BT-peor-opt,BT-P-O-118-1-118,118,118,1,..\instances\BT-peor-opt\BT-P-O-118-1-118.txt
BT-peor-opt,BT-P-O-119-1-119,119,119,1,..\instances\BT-peor-opt\BT-P-O-119-1-119.txt
BT-peor-opt,BT-P-O-120-1-120,120,120,1,..\instances\BT-peor-opt\BT-P-O-120-1-120.txt
BT-peor-opt,BT-P-O-121-1-121,121,121,1,..\instances\BT-peor-opt\BT-P-O-121-1-121.txt
BT-peor-opt,BT-P-O-122-1-122,122,122,1,..\instances\BT-peor-opt\BT-P-O-122-1-122.txt
BT-peor-opt,BT-P-O-123-1-123,123,123,1,..\instances\BT-peor-opt\BT-P-O-123-1-123.txt
BT-peor-opt,BT-P-O-124-1-124,124,124,1,..\instances\BT-peor-opt\BT-P-O-124-1-124.txt
BT-peor-opt,BT-P-O-125-1-125,125,125,1,..\instances\BT-peor-opt\BT-P-O-125-1-125.txt
BT-peor-opt,BT-P-O-126-1-126,126,126,1,..\instances\BT-peor-opt\BT-P-O-126-1-126.txt
BT-peor-opt,BT-P-O-127-1-127,127,127,1,..\instances\BT-peor-opt\BT-P-O-127-1-127.txt
BT-peor-opt,BT-P-O-128-1-128,128,128,1,..\instances\BT-peor-opt\BT-P-O-128-1-128.txt
BT-peor-opt,BT-P-O-129-1-129,129,129,1,..\instances\BT-peor-opt\BT-P-O-129-1-129.txt
BT-peor-opt,BT-P-O-130-1-130,130,130,1,..\instances\BT-peor-opt\BT-P-O-130-1-130.txt
BT-peor-opt,BT-P-O-131-1-131,131,131,1,..\instances\BT-peor-opt\BT-P-O-131-1-131.txt
BT-peor-opt,BT-P-O-132-1-132,132,132,1,..\instances\BT-peor-opt\BT-P-O-132-1-132.txt
BT-peor-opt,BT-P-O-133-1-133,133,133,1,..\instances\BT-peor-opt\BT-P-O-133-1-133.txt
BT-peor-opt,BT-P-O-134-1-134,134,134,1,..\instances\BT-peor-opt\BT-P-O-134-1-134.txt
BT-peor-opt,BT-P-O-135-1-135,135,135,1,..\instances\BT-peor-opt\BT-P-O-135-1-135.txt
BT-peor-opt,BT-P-O-136-1-136,136,136,1,..\instances\BT-peor-opt\BT-P-O-136-1-136.txt
BT-peor-opt,BT-P-O-137-1-137,137,137,1,..\instances\BT-peor-opt\BT-P-O-137-1-137.txt
BT-peor-opt,BT-P-O-138-1-138,138,138,1,..\instances\BT-peor-opt\BT-P-O-138-1-138.txt
BT-peor-opt,BT-P-O-139-1-139,139,139,1,..\instances\BT-peor-opt\BT-P-O-139-1-139.txt
BT-peor-opt,BT-P-O-140-1-140,140,140,1,..\instances\BT-peor-opt\BT-P-O-140-1-140.txt
BT-peor-opt,BT-P-O-141-1-141,141,141,1,..\instances\BT-peor-opt\BT-P-O-141-1-141.txt
BT-peor-opt,BT-P-O-142-1-142,142,142,1,..\instances\BT-peor-opt\BT-P-O-142-1-142.txt
BT-peor-opt,BT-P-O-143-1-143,143,143,1,..\instances\BT-peor-opt\BT-P-O-143-1-143.txt
BT-peor-opt,BT-P-O-144-1-144,144,144,1,..\instances\BT-peor-opt\BT-P-O-144-1-144.txt
BT-peor-opt,BT-P-O-145-1-145,145,145,1,..\instances\BT-peor-opt\BT-P-O-145-1-145.txt
BT-peor-opt,BT-P-O-146-1-146,146,146,1,..\instances\BT-peor-opt\BT-P-O-146-1-146.txt
BT-peor-opt,BT-P-O-147-1-147,147,147,1,..\instances\BT-peor-opt\BT-P-O-147-1-147.txt
BT-peor-opt,BT-P-O-148-1-148,148,148,1,..\instances\BT-peor-opt\BT-P-O-148-1-148.txt
BT-peor-opt,BT-P-O-149-1-149,149,149,1,..\instances\BT-peor-opt\BT-P-O-149-1-149.txt
BT-peor-opt,BT-P-O-150-1-150,150,150,1,..\instances\BT-peor-opt\BT-P-O-150-1-150.txt
BT-peor-opt,BT-P-O-151-1-151,151,151,1,..\instances\BT-peor-opt\BT-P-O-151-1-151.txt
BT-peor-opt,BT-P-O-152-1-152,152,152,1,..\instances\BT-peor-opt\BT-P-O-152-1-152.txt
BT-peor-opt,BT-P-O-153-1-153,153,153,1,..\instances\BT-peor-opt\BT-P-O-153-1-153.txt
BT-peor-opt,BT-P-O-154-1-154,154,154,1,..\instances\BT-peor-opt\BT-P-O-154-1-154.txt
BT-peor-opt,BT-P-O-155-1-155,155,155,1,..\instances\BT-peor-opt\BT-P-O-155-1-155.txt
BT-peor-opt,BT-P-O-156-1-156,156,156,1,..\instances\BT-peor-opt\BT-P-O-156-1-156.txt
BT-peor-opt,BT-P-O-157-1-157,157,157,1,..\instances\BT-peor-opt\BT-P-O-157-1-157.txt
BT-peor-opt,BT-P-O-158-1-158,158,158,1,..\instances\BT-peor-opt\BT-P-O-158-1-158.txt
BT-peor-opt,BT-P-O-159-1-159,159,159,1,..\instances\BT-peor-opt\BT-P-O-159-1-159.txt
BT-peor-opt,BT-P-O-160-1-160,160,160,1,..\instances\BT-peor-opt\BT-P-O-160-1-160.txt
BT-peor-opt,BT-P-O-161-1-161,161,161,1,..\instances\BT-peor-opt\BT-P-O-161-1-161.txt
BT-peor-opt,BT-P-O-162-1-162,162,162,1,..\instances\BT-peor-opt\BT-P-O-162-1-162.txt
BT-peor-opt,BT-P-O-163-1-163,163,163,1,..\instances\BT-peor-opt\BT-P-O-163-1-163.txt
BT-peor-opt,BT-P-O-164-1-164,164,164,1,..\instances\BT-peor-opt\BT-P-O-164-1-164.txt
BT-peor-opt,BT-P-O-165-1-165,165,165,1,..\instances\BT-peor-opt\BT-P-O-165-1-165.txt
BT-peor-opt,BT-P-O-166-1-166,166,166,1,..\instances\BT-peor-opt\BT-P-O-166-1-166.txt
BT-peor-opt,BT-P-O-167-1-167,167,167,1,..\instances\BT-peor-opt\BT-P-O-167-1-167.txt
BT-peor-opt,BT-P-O-168-1-168,168,168,1,..\instances\BT-peor-opt\BT-P-O-168-1-168.txt
BT-peor-opt,BT-P-O-169-1-169,169,169,1,..\instances\BT-peor-opt\BT-P-O-169-1-169.txt
BT-peor-opt,BT-P-O-170-1-170,170,170,1,..\instances\BT-peor-opt\BT-P-O-170-1-170.txt
BT-peor-opt,BT-P-O-171-1-171,171,171,1,..\instances\BT-peor-opt\BT-P-O-171-1-171.txt
BT-peor-opt,BT-P-O-172-1-172,172,172,1,..\instances\BT-peor-opt\BT-P-O-172-1-172.txt
BT-peor-opt,BT-P-O-173-1-173,173,173,1,..\instances\BT-peor-opt\BT-P-O-173-1-173.txt
BT-peor-opt,BT-P-O-174-1-174,174,174,1,..\instances\BT-peor-opt\BT-P-O-174-1-174.txt
BT-peor-opt,BT-P-O-175-1-175,175,175,1,..\instances\BT-peor-opt\BT-P-O-175-1-175.txt
BT-peor-opt,BT-P-O-176-1-176,176,176,1,..\instances\BT-peor-opt\BT-P-O-176-1-176.txt
BT-peor-opt,BT-P-O-177-1-177,177,177,1,..\instances\BT-peor-opt\BT-P-O-177-1-177.txt
BT-peor-opt,BT-P-O-178-1-178,178,178,1,..\instances\BT-peor-opt\BT-P-O-178-1-178.txt
BT-peor-opt,BT-P-O-179-1-179,179,179,1,..\instances\BT-peor-opt\BT-P-O-179-1-179.txt
BT-peor-opt,BT-P-O-180-1-180,180,180,1,..\instances\BT-peor-opt\BT-P-O-180-1-180.txt
BT-peor-opt,BT-P-O-181-1-181,181,181,1,..\instances\BT-peor-opt\BT-P-O-181-1-181.txt
BT-peor-opt,BT-P-O-182-1-182,182,182,1,..\instances\BT-peor-opt\BT-P-O-182-1-182.txt
BT-peor-opt,BT-P-O-183-1-183,183,183,1,..\instances\BT-peor-opt\BT-P-O-183-1-183.txt
BT-peor-opt,BT-P-O-184-1-184,184,184,1,..\instances\BT-peor-opt\BT-P-O-184-1-184.txt
BT-peor-opt,BT-P-O-185-1-185,185,185,1,..\instances\BT-peor-opt\BT-P-O-185-1-185.txt
BT-peor-opt,BT-P-O-186-1-186,186,186,1,..\instances\BT-peor-opt\BT-P-O-186-1-186.txt
BT-peor-opt,BT-P-O-187-1-187,187,187,1,..\instances\BT-peor-opt\BT-P-O-187-1-187.txt
BT-peor-opt,BT-P-O-188-1-188,188,188,1,..\instances\BT-peor-opt\BT-P-O-188-1-188.txt
BT-peor-opt,BT-P-O-189-1-189,189,189,1,..\instances\BT-peor-opt\BT-P-O-189-1-189.txt
BT-peor-opt,BT-P-O-190-1-190,190,190,1,..\instances\BT-peor-opt\BT-P-O-190-1-190.txt
BT-peor-opt,BT-P-O-191-1-191,191,191,1,..\instances\BT-peor-opt\BT-P-O-191-1-191.txt
BT-peor-opt,BT-P-O-192-1-192,192,192,1,..\instances\BT-peor-opt\BT-P-O-192-1-192.txt
BT-peor-opt,BT-P-O-193-1-193,193,193,1,..\instances\BT-peor-opt\BT-P-O-193-1-193.txt
BT-peor-opt,BT-P-O-194-1-194,194,194,1,..\instances\BT-peor-opt\BT-P-O-194-1-194.txt
BT-peor-opt,BT-P-O-195-1-195,195,195,1,..\instances\BT-peor-opt\BT-P-O-195-1-195.txt
BT-peor-opt,BT-P-O-196-1-196,196,196,1,..\instances\BT-peor-opt\BT-P-O-196-1-196.txt
BT-peor-opt,BT-P-O-197-1-197,197,197,1,..\instances\BT-peor-opt\BT-P-O-197-1-197.txt
BT-peor-opt,BT-P-O-198-1-198,198,198,1,..\instances\BT-peor-opt\BT-P-O-198-1-198.txt
BT-peor-opt,BT-P-O-199-1-199,199,199,1,..\instances\BT-peor-opt\BT-P-O-199-1-199.txt
BT-peor-opt,BT-P-O-200-1-200,200,200,1,..\instances\BT-peor-opt\BT-P-O-200-1-200.txt
BT-peor-opt,BT-P-O-201-1-201,201,201,1,..\instances\BT-peor-opt\BT-P-O-201-1-201.txt
BT-peor-opt,BT-P-O-202-1-202,202,202,1,..\instances\BT-peor-opt\BT-P-O-202-1-202.txt
BT-peor-opt,BT-P-O-203-1-203,203,203,1,..\instances\BT-peor-opt\BT-P-O-203-1-203.txt
BT-peor-opt,BT-P-O-204-1-204,204,204,1,..\instances\BT-peor-opt\BT-P-O-204-1-204.txt
BT-peor-opt,BT-P-O-205-1-205,205,205,1,..\instances\BT-peor-opt\BT-P-O-205-1-205.txt
BT-peor-opt,BT-P-O-206-1-206,206,206,1,..\instances\BT-peor-opt\BT-P-O-206-1-206.txt
BT-peor-opt,BT-P-O-207-1-207,207,207,1,..\instances\BT-peor-opt\BT-P-O-207-1-207.txt
BT-peor-opt,BT-P-O-208-1-208,208,208,1,..\instances\BT-peor-opt\BT-P-O-208-1-208.txt
BT-peor-opt,BT-P-O-209-1-209,209,209,1,..\instances\BT-peor-opt\BT-P-O-209-1-209.txt
BT-peor-opt,BT-P-O-210-1-210,210,210,1,..\instances\BT-peor-opt\BT-P-O-210-1-210.txt
BT-peor-opt,BT-P-O-211-1-211,211,211,1,..\instances\BT-peor-opt\BT-P-O-211-1-211.txt
BT-peor-opt,BT-P-O-212-1-212,212,212,1,..\instances\BT-peor-opt\BT-P-O-212-1-212.txt
BT-peor-opt,BT-P-O-213-1-213,213,213,1,..\instances\BT-peor-opt\BT-P-O-213-1-213.txt
BT-peor-opt,BT-P-O-214-1-214,214,214,1,..\instances\BT-peor-opt\BT-P-O-214-1-214.txt
BT-peor-opt,BT-P-O-215-1-215,215,215,1,..\instances\BT-peor-opt\BT-P-O-215-1-215.txt
BT-peor-opt,BT-P-O-216-1-216,216,216,1,..\instances\BT-peor-opt\BT-P-O-216-1-216.txt
BT-peor-opt,BT-P-O-217-1-217,217,217,1,..\instances\BT-peor-opt\BT-P-O-217-1-217.txt
BT-peor-opt,BT-P-O-218-1-218,218,218,1,..\instances\BT-peor-opt\BT-P-O-218-1-218.txt
BT-peor-opt,BT-P-O-219-1-219,219,219,1,..\instances\BT-peor-opt\BT-P-O-219-1-219.txt
BT-peor-opt,BT-P-O-220-1-220,220,220,1,..\instances\BT-peor-opt\BT-P-O-220-1-220.txt
BT-peor-opt,BT-P-O-221-1-221,221,221,1,..\instances\BT-peor-opt\BT-P-O-221-1-221.txt
BT-peor-opt,BT-P-O-222-1-222,222,222,1,..\instances\BT-peor-opt\BT-P-O-222-1-222.txt
BT-peor-opt,BT-P-O-223-1-223,223,223,1,..\instances\BT-peor-opt\BT-P-O-223-1-223.txt
BT-peor-opt,BT-P-O-224-1-224,224,224,1,..\instances\BT-peor-opt\BT-P-O-224-1-224.txt
BT-peor-opt,BT-P-O-225-1-225,225,225,1,..\instances\BT-peor-opt\BT-P-O-225-1-225.txt
BT-peor-opt,BT-P-O-226-1-226,226,226,1,..\instances\BT-peor-opt\BT-P-O-226-1-226.txt
BT-peor-opt,BT-P-O-227-1-227,227,227,1,..\instances\BT-peor-opt\BT-P-O-227-1-227.txt
BT-peor-opt,BT-P-O-228-1-228,228,228,1,..\instances\BT-peor-opt\BT-P-O-228-1-228.txt
BT-peor-opt,BT-P-O-229-1-229,229,229,1,..\instances\BT-peor-opt\BT-P-O-229-1-229.txt
BT-peor-opt,BT-P-O-230-1-230,230,230,1,..\instances\BT-peor-opt\BT-P-O-230-1-230.txt
BT-peor-opt,BT-P-O-231-1-231,231,231,1,..\instances\BT-peor-opt\BT-P-O-231-1-231.txt
BT-peor-opt,BT-P-O-232-1-232,232,232,1,..\instances\BT-peor-opt\BT-P-O-232-1-232.txt
BT-peor-opt,BT-P-O-233-1-233,233,233,1,..\instances\BT-peor-opt\BT-P-O-233-1-233.txt
BT-peor-opt,BT-P-O-234-1-234,234,234,1,..\instances\BT-peor-opt\BT-P-O-234-1-234.txt
BT-peor-opt,BT-P-O-235-1-235,235,235,1,..\instances\BT-peor-opt\BT-P-O-235-1-235.txt
BT-peor-opt,BT-P-O-236-1-236,236,236,1,..\instances\BT-peor-opt\BT-P-O-236-1-236.txt
BT-peor-opt,BT-P-O-237-1-237,237,237,1,..\instances\BT-peor-opt\BT-P-O-237-1-237.txt
BT-peor-opt,BT-P-O-238-1-238,238,238,1,..\instances\BT-peor-opt\BT-P-O-238-1-238.txt
BT-peor-opt,BT-P-O-239-1-239,239,239,1,..\instances\BT-peor-opt\BT-P-O-239-1-239.txt
BT-peor-opt,BT-P-O-240-1-240,240,240,1,..\instances\BT-peor-opt\BT-P-O-240-1-240.txt
